time,"Natural_gas,_US","Shrimps,_Mexican",Barley,Soybean_oil,Platinum,close,Aluminum,"Tobacco,_US_import_u.v.",Orange,"Sugar,_EU"
1995-02-01,1.58,13.7,85.77,663.0,413.97,8505.45,1916.15,2673.19,0.42,0.65
1995-03-01,1.54,14.04,90.83,652.0,416.89,7531.91,1805.07,2586.76,0.45,0.68
1995-04-01,1.62,14.41,93.4,610.0,448.29,7397.83,1849.0,2501.1,0.56,0.7
1995-05-01,1.64,14.88,100.79,595.0,437.35,7232.19,1762.69,2518.93,0.56,0.71
1995-06-01,1.62,14.88,105.77,611.0,438.53,7871.57,1780.05,2587.47,0.65,0.7
1995-07-01,1.44,14.55,112.97,626.0,433.63,8596.57,1860.1,2642.87,0.69,0.7
1995-08-01,1.56,13.45,104.87,616.0,425.34,8944.66,1888.32,2691.66,0.61,0.69
1995-09-01,1.64,12.21,104.82,614.0,429.65,8405.21,1760.83,2689.09,0.54,0.69
1995-10-01,1.77,12.24,112.7,638.0,412.66,8061.73,1674.32,2689.44,0.55,0.7
1995-11-01,2.04,12.43,125.76,623.0,413.12,8505.91,1654.07,2744.74,0.56,0.7
1995-12-01,2.71,12.21,125.0,579.0,408.71,8090.89,1656.74,2800.9,0.44,0.68
1996-01-01,2.93,11.98,124.93,554.0,415.48,7862.05,1589.34,2869.95,0.42,0.69
1996-02-01,4.4,12.1,123.31,548.0,420.21,8215.55,1591.55,2890.78,0.43,0.69
1996-03-01,2.95,12.02,124.47,538.0,411.19,8021.74,1612.48,2965.09,0.47,0.69
1996-04-01,2.23,12.9,132.69,582.0,404.39,8042.85,1587.23,2981.05,0.53,0.68
1996-05-01,2.24,13.93,137.79,591.0,401.42,8026.55,1589.26,2987.62,0.52,0.68
1996-06-01,2.49,14.15,138.14,563.0,392.25,7709.48,1482.48,2996.06,0.56,0.68
1996-07-01,2.48,13.56,133.09,549.0,393.66,7203.65,1458.7,3050.38,0.53,0.7
1996-08-01,2.03,13.12,115.01,565.0,400.03,7054.36,1463.36,3140.87,0.53,0.68
1996-09-01,1.84,13.09,103.4,569.0,389.86,7318.05,1407.38,3149.7,0.53,0.68
1996-10-01,2.37,13.12,102.41,528.0,384.18,7031.39,1336.34,3157.84,0.47,0.69
1996-11-01,3.03,13.65,99.99,517.0,381.98,6943.38,1449.52,3213.38,0.47,0.7
1996-12-01,3.82,13.83,100.76,514.0,370.7,6580.75,1500.29,3261.76,0.43,0.65
1997-01-01,3.31,13.89,98.97,534.0,360.1,7071.55,1575.61,3333.84,0.42,0.69
1997-02-01,2.22,13.89,97.73,527.0,365.01,7734.53,1580.01,3353.29,0.41,0.65
1997-03-01,1.89,14.0,99.75,541.0,378.9,7895.87,1631.57,3402.27,0.42,0.65
1997-04-01,2.03,14.41,97.87,541.0,371.08,7315.52,1561.44,3451.87,0.45,0.63
1997-05-01,2.24,14.64,100.07,541.0,387.5,7482.85,1625.25,3557.14,0.47,0.63
1997-06-01,2.2,14.88,94.94,550.0,430.76,7062.48,1567.55,3604.59,0.44,0.64
1997-07-01,2.19,14.92,91.66,535.0,415.52,6835.5,1591.99,3582.17,0.52,0.63
1997-08-01,2.47,15.45,91.3,544.0,424.55,6761.3,1710.58,3576.49,0.57,0.6
1997-09-01,2.84,15.58,92.51,555.0,424.73,6503.84,1610.6,3635.2,0.55,0.58
1997-10-01,3.04,15.26,102.71,611.0,423.12,6380.33,1607.86,3621.51,0.49,0.59
1997-11-01,3.02,15.14,102.27,676.0,392.29,6139.5,1598.99,3628.68,0.41,0.61
1997-12-01,2.33,15.1,97.08,622.0,365.42,5945.36,1530.51,3631.5,0.35,0.61
1998-01-01,2.1,15.32,95.77,625.0,373.86,5491.75,1485.79,3583.29,0.36,0.6
1998-02-01,2.22,15.4,91.49,634.0,386.08,5386.88,1465.56,3497.56,0.39,0.6
1998-03-01,2.23,15.46,93.04,652.0,398.99,5395.8,1437.7,3451.77,0.41,0.61
1998-04-01,2.42,15.79,91.85,662.0,413.75,5393.88,1418.16,3493.49,0.44,0.61
1998-05-01,2.14,15.92,93.01,671.0,388.9,5020.0,1364.72,3391.41,0.45,0.59
1998-06-01,2.17,15.28,91.57,629.0,355.43,4475.7,1307.24,3329.61,0.46,0.59
1998-07-01,2.17,14.26,85.2,612.0,378.43,4325.43,1309.21,3283.3,0.54,0.58
1998-08-01,1.85,13.78,73.2,592.0,369.18,4080.63,1310.9,3237.58,0.51,0.58
1998-09-01,2.01,13.12,73.12,615.0,361.15,4102.16,1342.27,3209.48,0.5,0.6
1998-10-01,1.89,12.41,74.74,614.0,342.6,3871.93,1304.06,3269.39,0.43,0.61
1998-11-01,2.1,12.02,79.26,614.0,347.18,4131.91,1294.96,3183.02,0.43,0.61
1998-12-01,1.74,12.13,78.39,591.0,351.79,3878.21,1249.06,3103.56,0.38,0.61
